lig_id,chembl_id,pref_name,can_smiles,mw,alogp,hbd,hba,psa,rtb,qed,max_phase,source_query,n_heavy,cluster,tanimoto_to_5amp
L000,CURATED_adenosine,adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,267.2,-1.98,4,8,139.5,2,0.49,,curated,19,0,0.686
L001,CURATED_AMP_5prime,AMP_5prime,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,347.2,-1.86,5,9,186.1,4,0.39,,curated,23,0,1.0
L002,CURATED_ADP,ADP,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,427.2,-1.75,6,11,232.6,6,0.28,,curated,27,0,0.849
L003,CURATED_cAMP,cAMP,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,329.2,-0.82,3,9,154.8,1,0.57,,curated,22,4,0.5
L004,CURATED_GMP,GMP,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,363.2,-2.57,6,9,206.0,4,0.31,,curated,24,0,0.661
L005,CURATED_IMP,IMP,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,348.2,-2.15,5,8,180.0,4,0.38,,curated,23,0,0.696
L006,CURATED_tubercidin,tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,266.3,-1.38,4,7,126.7,2,0.53,,curated,19,9,0.45
L007,CURATED_formycin,formycin,Nc1ncnc2[nH]ncc12,135.1,-0.06,2,4,80.5,0,0.53,,curated,10,66,0.169
L008,CURATED_remdesivir_ns,remdesivir_ns,CCC(CC)COC(=O)C(C)NP(=O)(OCC1OC(n2ccc3c(N)ncnc32)C(O)C1O)Oc1ccccc1,577.6,2.79,4,11,180.3,13,0.17,,curated,40,65,0.407
L009,CURATED_AICA,"AICA (5-amino-4-imidazolecarboxamide, free base)",NC(=O)c1[nH]cnc1N,126.1,-0.91,3,3,97.8,1,0.45,,curated,9,64,0.15
L010,CURATED_caffeine,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.2,-1.03,0,3,61.8,0,0.54,,curated,14,63,0.125
L011,CURATED_allopurinol,allopurinol,O=c1[nH]cnc2[nH]ncc12,136.1,-0.35,2,3,74.4,0,0.52,,curated,10,62,0.076
L012,CURATED_xanthine,xanthine,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,152.1,-1.06,3,3,94.4,0,0.45,,curated,11,61,0.077
L013,CURATED_5FU,5FU,O=c1[nH]cc(F)c(=O)[nH]1,130.1,-0.8,2,2,65.7,0,0.48,,curated,9,60,0.048
L014,CURATED_6MP,6MP,S=c1[nH]cnc2[nH]cnc12,152.2,1.02,2,3,57.4,0,0.55,,curated,10,59,0.081
L015,CURATED_adenine,adenine,Nc1ncnc2[nH]cnc12,135.1,-0.06,2,4,80.5,0,0.53,,curated,10,58,0.214
L016,CURATED_hypoxanthine,hypoxanthine,O=c1[nH]cnc2[nH]cnc12,136.1,-0.35,2,3,74.4,0,0.52,,curated,10,57,0.098
L017,CURATED_ribavirin,ribavirin,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,244.2,-3.01,4,7,143.7,3,0.44,,curated,17,56,0.312
L018,CURATED_acadesine,acadesine,NC(=O)c1c(N)ncn1C1OC(CO)C(O)C1O,258.2,-2.82,5,7,156.8,3,0.39,,curated,18,10,0.441
L019,CHEMBL6191235,,Nc1ncnc2c1ncn2[C@H]1O[C@@H](COP(=O)(O)O)[C@H](O)[C@@H]1O,347.2,-1.86,5,9,186.1,4,0.39,,"5AMP_sim70,5AMP_sim80",23,0,1.0
L020,CHEMBL72928,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](F)[C@H]1O,269.2,-1.0,3,7,119.3,2,0.64,,adenosine_sim75,19,1,0.589
L021,CHEMBL6827,,CNc1ncnc2c1ncn2Cc1cccc(O)c1,255.3,1.62,2,5,75.9,3,0.74,,adenine_sub,19,14,0.189
L022,CHEMBL6889,,CN(C)c1ncnc2c1ncn2Cc1ccccc1,253.3,1.94,0,4,46.8,3,0.72,,adenine_sub,19,2,0.188
