pocket_rank,center_x,center_y,center_z,best_affinity_kcal_mol
1,-15.58,-4.55,17.09,-8.78
5,5.01,-6.72,28.06,-8.061
19,9.74,1.82,20.42,-7.983
11,-4.19,2.33,-7.42,-7.566
7,-4.09,18.62,-1.91,-7.508
20,-21.98,-13.42,19.23,-7.483
18,-11.48,2.41,-9.16,-7.427
3,-13.19,19.94,14.92,-7.215
8,4.77,-10.91,12.55,-7.052
21,7.85,19.86,1.26,-7.038
4,-1.75,23.04,-10.05,-7.007
12,-17.02,15.39,0.47,-6.907
10,12.10,17.37,-11.37,-6.738
15,-23.13,12.06,-4.72,-6.724
2,3.81,-18.09,-5.34,-6.464
14,-7.71,11.47,33.75,-6.356
17,-6.30,-15.28,-8.45,-6.337
6,9.04,-23.62,-6.01,-6.334
13,-29.25,17.89,17.57,-5.763
16,14.43,-19.40,16.01,-5.73
9,14.59,2.45,-10.47,-3.531
