lig_id,zinc_id,affinity,mw,qed,amp_similarity,can_smiles
Z00072,20775376,-11.65,361.5,0.744,0.074,CN(C)CCN1C[C@@H](C(=O)NCc2n[nH]c3c2CCCCC3)CCC1=O
Z00473,1529146422,-10.73,363.8,0.84,0.07,Cc1ccc(Cl)cc1C(=O)N1CCCN(C(=O)c2n[nH]c(O)n2)CC1
Z00694,2356145253,-10.16,376.5,0.716,0.1,Cc1cccn2c(CC(=O)N3CCC[C@]4(CCc5c[nH]c(=N)nc54)C3)cnc12
Z00743,221406645,-10.02,366.4,0.738,0.112,Cc1oc(-c2ccccc2)nc1CC(=O)N1CCN(Cc2ncn[nH]2)CC1
Z00635,2384430581,-10.0,404.4,0.728,0.097,CN1C(=O)[C@H](CC(=O)N2CCc3oc(-c4cc(F)cc(F)c4)nc3C2)N(C)C1=O
Z00719,2382425931,-9.96,395.5,0.698,0.093,O=C(NC[C@H]1[C@@H]2CNC[C@@H](C2)[C@@H]2CCCC(=O)N21)c1ccccc1-c1nn[nH]n1
Z00711,2356145872,-9.88,378.4,0.789,0.073,Cn1nnc([C@@H]2CN(S(=O)(=O)c3ccc4c(c3)CCC(=O)N4)CCO2)n1
Z00295,1857671284,-9.81,417.4,0.511,0.081,CNC(=O)Cc1nc(-c2cc3n(n2)CCN(C)C3=O)n(-c2cnc3ccccc3n2)n1
Z00839,1857714610,-9.8,380.4,0.642,0.082,Cc1nnc2n1C[C@]1(CCN(C(=O)Cn3ncc4ccccc4c3=O)C1)OC2
Z00869,2356154575,-9.79,368.4,0.856,0.099,O=C(c1cnc(N2CCOCC2)nc1)N1CCC[C@]2(CCc3c[nH]nc32)C1
Z00984,2382344168,-9.77,396.5,0.778,0.076,Cn1nc2n(c1=O)C[C@@]1(CCN(C(=O)C3(c4ccccc4)CCCCC3)C1)OC2
Z00335,23337615,-9.7,372.8,0.739,0.095,Cc1cnc2c(Cl)c(C(=O)N3CCC[C@H](c4cc(=O)[nH]cn4)C3)nn2c1
Z00881,2386270839,-9.66,365.4,0.876,0.075,O=C1NCCc2c1nc(-c1ccccn1)nc2N1CCC2(CCCO2)CC1
Z00799,14755522,-9.65,417.5,0.796,0.068,O=C1N[C@H](Cc2ccccc2)C(=O)N2CCN(S(=O)(=O)c3ccccc3F)C[C@H]12
Z00780,299792582,-9.65,371.4,0.844,0.099,O=C(Nc1cccc(-n2cnnn2)c1)NC1CCN(C2CCOCC2)CC1
Z00707,2382304895,-9.65,393.5,0.788,0.099,NC(=O)N1CCC[C@H]1C(=O)N1CCC2(CC1)OCCc1sc(C(=O)O)cc12
Z00698,952989889,-9.62,363.4,0.507,0.071,CN1C(=O)N(C)C2(CCN(C(=O)[C@H]3CC(=O)OC34CCCC4)CC2)C1=O
Z00244,95358999,-9.59,353.3,0.751,0.093,O=C1C[C@H](C(=O)O)C2(CCN(C(=O)Nc3ccc(F)cc3F)CC2)N1
Z00734,13552434,-9.59,315.3,0.85,0.089,Cc1nc2n(n1)[C@H](C(=O)Nc1ccc3c(c1)OCO3)CC(=O)N2
Z00189,97425170,-9.54,367.4,0.749,0.084,Cc1cc2nc(C(=O)N3CCNC(=O)[C@@H]3c3cccc(F)c3)cc(C)n2n1
Z00187,85474689,-9.53,357.4,0.848,0.115,NC(=O)CN1C(=O)[C@]2(CCN(C(=O)C3CCOCC3)C2)c2ccccc21
Z00307,12296321,-9.53,390.5,0.71,0.073,O=C(CNC(=O)N1CCc2c([nH]c3ccccc23)C1)N[C@@H]1CCS(=O)(=O)C1
Z00037,2325856354,-9.52,339.4,0.774,0.099,Cn1ccnc1[C@@H]1CNCCN1C(=O)c1ccc2cc(F)ccc2n1
Z00217,670469391,-9.51,395.4,0.803,0.108,NS(=O)(=O)c1ccc(F)c(C(=O)N[C@H]2CCCN(C(=O)c3ccco3)C2)c1
Z00803,2382422134,-9.5,400.5,0.765,0.1,COc1ccc([C@@H]2[C@@H]3CN(C(=O)CN4C(=O)NC(C)(C)C4=O)C[C@@H]3CN2C)cc1
Z00067,13637536,-9.46,368.4,0.737,0.124,Nc1nc(N2CCOCC2)nc2c1[C@@H](C(=O)Nc1ccccc1)CC(=O)N2
Z00458,2384426174,-9.44,416.5,0.797,0.097,Cc1cc(CCc2ccccc2)oc(=O)c1C(=O)N1CCN[C@@H]2CS(=O)(=O)C[C@@H]21
Z00323,2325850901,-9.43,392.5,0.824,0.099,N[C@@H]1CCC2(CC2)C[C@H]1C(=O)NS(=O)(=O)c1cnn(-c2ccc(F)cc2)c1
Z00575,18325102,-9.4,377.4,0.752,0.081,NS(=O)(=O)c1ccc(CN[C@H]2CC(=O)N(c3ccccc3F)C2=O)cc1
Z00099,4282223,-9.4,379.4,0.518,0.149,CC(=O)N[C@H]1[C@H](Oc2ccc3c(C)cc(=O)oc3c2)O[C@H](CO)[C@H](O)[C@@H]1O
Z00411,1857718238,-9.39,381.5,0.753,0.105,CC(C)[C@H]1CN2C[C@@H](NC(=O)c3c[nH]c(=N)nc3-c3ccccc3)C[C@H]2CO1
Z00654,1857735837,-9.38,377.4,0.73,0.097,Cc1cccc2nc(C(=O)N3C[C@H](O)[C@]4(C3)[C@H](c3ccccc3)[C@H]4CO)cn12
Z00294,2386279563,-9.32,339.4,0.9,0.082,O=C1NCCc2c1nc(C1CC1)nc2N1CCC(n2cnnc2)CC1
Z00801,1857732446,-9.3,418.5,0.461,0.087,N=c1ccnc(N2[C@H]3CC[C@@H]2C[C@]3(Cc2ccccc2)C(=O)NCCc2cnn[nH]2)[nH]1
Z00726,19782524,-9.3,355.4,0.767,0.1,O=C1C[C@@H](N2CCN(c3ncccn3)CC2)C(=O)N1c1ccc(F)cc1
Z00149,2386276444,-9.29,326.4,0.901,0.066,Cc1cc(C)n([C@@H]2CCN(c3nc(C)nc4c3CCNC4=O)C2)n1
Z00317,2100534276,-9.29,342.4,0.646,0.121,Cc1nc2c(C(=O)N3CCO[C@H](c4nnn(C)n4)C3)ccnc2n1C
Z00269,1704339615,-9.28,336.4,0.72,0.092,Cc1cc(=O)cc(C(=O)N[C@]2(C)CCOC3(CCNCC3)[C@H]2O)o1
Z00059,2382385640,-9.26,372.4,0.612,0.12,O=C(N[C@H]1C[C@H](C(=O)NCc2cc(C3CC3)on2)CC[C@@H]1O)c1ccc[nH]1
Z00408,670455860,-9.26,352.4,0.749,0.129,O=C(NCc1nncn1C1CCCCC1)c1cccc(-n2cnnc2)n1
Z00352,2382422767,-9.26,385.4,0.778,0.111,CC(=O)NC[C@H]1[C@H]2CN(C(=O)c3c[nH]c4cc(C)nn4c3=O)C[C@]23CC[C@H]1O3
Z00945,91416936,-9.26,376.4,0.741,0.105,Cc1nn(CC(=O)N2Cc3ccccc3C[C@@H]2C(N)=O)c(=O)c2ccccc12
Z00543,2382411083,-9.25,382.4,0.689,0.082,CC(C)[C@H](C)NC(=O)c1n[nH]c2c1CCN(C(=O)c1cccc3nnnn13)C2
Z00524,65418876,-9.24,343.4,0.75,0.111,Cc1nn(CC(=O)O)c2c1[C@H](c1cccc3nsnc13)CC(=O)N2
Z00878,253537150,-9.23,362.4,0.83,0.11,Cc1c(C(=O)N2CCC[C@]3(CN(C)C(=O)O3)C2)sc2ncnc(O)c12
Z00989,1772813746,-9.22,409.5,0.806,0.116,Cc1noc(C)c1CN1C[C@H]2CN(S(=O)(=O)c3cccc(F)c3)C[C@]2(CO)C1
Z00996,2382423808,-9.22,368.4,0.719,0.106,Cn1cc([C@@H]2N(C(=O)CNC(N)=O)CC[C@@]23C(=O)Nc2ccccc23)cn1
Z00833,72478336,-9.22,350.5,0.805,0.095,CN1CCN(Cc2ccc3c(c2)CC(C)(C)O3)[C@H]2CS(=O)(=O)C[C@H]21
Z00946,2325790859,-9.21,385.5,0.769,0.097,O=C(NCc1cccc(N2CCCCC2=O)c1)C(=O)N1CC[C@H](O)C12CCC2
Z00315,23431121,-9.2,383.5,0.77,0.099,Cc1ccccc1NC(=O)C(=O)NCC1CCN(c2cnn(C)c(=O)c2)CC1
Z00891,2382388825,-9.19,338.4,0.734,0.14,O=C(Cn1cnnn1)N1C[C@H](Cc2ccnc3ccccc23)[C@@H](O)C1
Z00123,2382409651,-9.18,399.4,0.669,0.082,Cc1cc(C(=O)N2CCc3c(C(=O)N(C)CCc4noc(C)n4)n[nH]c3C2)no1
