lig_id,best_affinity_kcal_mol
Z39011,-7.518
Z13478,-7.627
Z13607,-7.756
Z46067,-8.332
Z09314,-7.734
Z25535,-7.432
Z34489,-8.431
Z49450,-7.145
Z37808,-8.59
Z09189,-7.461
Z17485,-8.862
Z30739,-8.934
Z27354,-7.393
Z35688,-8.803
Z04567,-9.088
Z27962,-7.402
Z10031,-7.683
Z20842,-7.681
Z16714,-8.614
Z16044,-7.75
Z37768,-7.674
Z35520,-8.278
Z11045,-8.505
Z21746,-6.161
Z25156,-7.597
Z08880,-8.189
Z32412,-7.561
Z43506,-9.605
Z36747,-6.698
Z30210,-7.176
Z30587,-7.44
Z09734,-8.892
Z34288,-7.505
Z22993,-9.059
Z11521,-8.026
Z09574,-7.237
Z27433,-7.141
Z10813,-7.985
Z32920,-8.266
Z27945,-8.56
Z29770,-8.201
Z12093,-7.11
Z26621,-6.896
Z02562,-9.622
Z10991,-7.827
Z14042,-7.508
Z10699,-8.115
Z08232,-7.499
Z06051,-8.736
Z13178,-7.968
Z03994,-5.522
Z48964,-4.934
Z37775,-8.894
Z49393,-6.905
Z42215,-8.143
Z36851,-6.584
Z32672,-7.516
Z34076,-7.977
Z46251,-8.643
Z42905,-7.421
Z14299,-7.507
Z08619,-8.625
Z17089,-8.891
Z38389,-8.455
Z10339,-7.602
Z42889,-8.934
Z40691,-7.819
Z35208,-8.153
Z04744,-9.233
Z29871,-5.916
Z40546,-7.787
Z17185,-6.337
Z29584,-8.007
Z13691,-8.791
Z46733,-6.762
Z46676,-5.347
Z33178,-7.182
Z44595,-9.384
Z32528,-9.12
Z17668,-7.734
Z20401,-8.386
Z05056,-8.651
Z13598,-8.45
Z49498,-9.417
Z42601,-7.226
Z25964,-8.754
Z06091,-6.479
Z49951,-7.615
Z10689,-8.246
Z01958,-7.367
Z34448,-7.493
Z40860,-7.596
Z27047,-7.301
Z16818,-7.951
Z05286,-7.662
Z34745,-7.841
Z00021,-7.146
Z31448,-8.829
Z32118,-9.285
Z48259,-8.89
Z12845,-8.847
Z31122,-7.216
Z24329,-8.258
Z35758,-6.787
Z26848,-9.612
Z39591,-7.256
Z41247,-8.625
Z43463,-8.617
Z23268,-7.951
Z40523,-5.643
Z45732,-8.865
Z13861,-6.732
Z24536,-7.822
Z17065,-9.531
Z10047,-6.249
Z20672,-9.09
Z36858,-8.838
Z41289,-7.904
Z35709,-8.063
Z21704,-8.284
Z12631,-7.587
Z41889,-6.519
Z25324,-9.565
Z47629,-8.353
Z06533,-8.094
Z23259,-5.55
Z01011,-6.858
Z30022,-8.37
Z31431,-8.083
Z06607,-7.487
Z11208,-7.613
Z44966,-8.029
Z14622,-8.932
Z01383,-7.905
Z28675,-7.27
Z48772,-8.158
Z24143,-8.484
Z09124,-8.913
Z14320,-8.374
Z37044,-6.604
Z01835,-7.963
Z02654,-7.047
Z23956,-8.906
Z08875,-7.914
Z28905,-8.317
Z00851,-6.958
Z10436,-7.943
Z07138,-6.03
Z08171,-6.79
Z19206,-7.762
Z15670,-8.029
Z06003,-7.306
Z08677,-8.832
Z12137,-7.75
Z26088,-7.555
Z19281,-7.995
Z22624,-6.678
Z30623,-7.614
Z27373,-8.036
Z37703,-7.667
Z28382,-7.175
Z27730,-7.167
Z41608,-7.032
Z43006,-8.372
Z49105,-7.47
Z07400,-8.332
Z42440,-8.572
Z00788,-8.502
Z21692,-8.436
Z30374,-8.859
Z33008,-6.693
Z28621,-8.198
Z04592,-8.395
Z48830,-8.27
Z06185,-7.452
Z01863,-8.04
Z44449,-8.637
Z49934,-9.173
Z29660,-7.802
Z11183,-7.239
Z24530,-7.746
Z43741,-7.855
Z43896,-7.5
Z21483,-6.238
Z49736,-7.194
Z47222,-8.105
Z47872,-7.378
Z27240,-6.787
Z49138,-7.976
Z09200,-8.397
Z01348,-5.51
Z08447,-5.453
Z38196,-7.155
Z01448,-7.484
Z23013,-8.777
Z24260,-9.251
Z32963,-8.139
Z03204,-9.25
Z26661,-8.024
Z32898,-8.085
Z00288,-7.042
Z35325,-8.503
Z37088,-9.091
Z44415,-7.499
Z00862,-7.59
Z41118,-8.529
Z44594,-8.606
Z07918,-7.088
Z02941,-7.874
Z22853,-8.158
Z34752,-7.593
Z31272,-7.128
Z28988,-7.819
Z12491,-7.071
Z40819,-7.611
Z48180,-8.34
Z44407,-7.546
Z47585,-6.602
Z15535,-7.414
Z21917,-7.603
Z06672,-6.643
Z37873,-7.014
Z42252,-7.712
Z49948,-8.568
Z21925,-7.62
Z46248,-7.934
Z48278,-6.762
Z10705,-8.181
Z38705,-9.502
Z15803,-8.837
Z39237,-8.449
Z11972,-9.345
Z48967,-8.61
Z00253,-8.624
Z30030,-8.606
Z44845,-9.147
Z01542,-6.902
Z49526,-7.794
Z06295,-7.86
Z11494,-7.97
Z02586,-7.827
Z22659,-7.662
Z12445,-8.548
Z28297,-7.196
Z23950,-7.77
Z13493,-7.272
Z17435,-8.135
Z22219,-9.093
Z31498,-7.896
Z30213,-6.774
Z35986,-7.623
Z09373,-6.041
Z37529,-8.064
Z34933,-8.368
Z28572,-7.194
Z37746,-7.61
Z39832,-7.496
Z42218,-7.957
Z38682,-9.437
Z13457,-8.029
Z08187,-7.279
Z40297,-8.339
Z43740,-8.536
Z24715,-6.676
Z14044,-7.77
Z40891,-7.578
Z45018,-7.075
Z43215,-7.391
Z28750,-8.145
Z12365,-8.727
Z06408,-9.265
Z03232,-8.119
Z17378,-8.181
Z18548,-8.609
Z11613,-8.361
Z11199,-8.393
Z19638,-8.566
Z27993,-8.727
Z24006,-7.933
Z10214,-6.366
Z29406,-8.383
Z37860,-8.074
Z42487,-8.722
Z06721,-6.655
Z39227,-9.571
Z08466,-7.73
Z01773,-8.663
Z04104,-8.826
Z02771,-6.683
Z03373,-8.448
Z10949,-7.436
Z26433,-7.472
Z28851,-8.106
Z18643,-6.665
Z27556,-7.406
Z24037,-8.593
Z00741,-7.303
Z30025,-8.337
Z31499,-7.573
Z01845,-7.28
Z02289,-7.28
Z34003,-7.408
Z07848,-8.422
Z06356,-6.729
Z11040,-7.232
Z21202,-7.697
Z25489,-8.341
Z13629,-9.232
Z14661,-8.757
Z36430,-7.724
Z24799,-9.221
Z25118,-8.918
Z39520,-8.868
Z21144,-6.267
Z37800,-8.204
Z39557,-7.417
Z41133,-7.106
Z42966,-7.379
Z22929,-8.334
Z42359,-8.395
Z30486,-8.993
Z42154,-9.049
Z04427,-6.976
Z45195,-5.979
Z32079,-8.937
Z42528,-8.243
Z24586,-6.182
Z01593,-7.845
