rank,lig_id,zinc_id,affinity,delta_vs_AMP,arm,tanimoto_to_amp,can_smiles
1,Z16766,4126706,-10.814,-2.04,diversity,0.056,O=C1Nc2ccccc2C12OCC1(CO2)COC2(OC1)C(=O)Nc1ccccc12
2,Z07474,2382403409,-10.602,-1.82,diversity,0.111,Cn1ccnc1[C@@H]1N(C(=O)c2cccn3cnnc23)CC[C@]12C(=O)Nc1ccccc12
3,Z32390,1857714551,-10.522,-1.74,enrichment,0.144,Cc1cc(C(=O)NC[C@H]2[C@H]3CN(c4nccc(=N)[nH]4)C[C@]34CC[C@H]2O4)cc(C)n1
4,Z32647,1287289516,-10.497,-1.72,diversity,0.093,CCCc1cc(=O)n2[nH]c(NC(=O)c3ccc4c(c3)N(C)C(=O)CO4)nc2n1
5,Z34167,2383336130,-10.473,-1.7,diversity,0.096,O=c1c(CN2C[C@@H]3C[C@H](C2)c2cccc(=O)n2[C@H]3CO)ccc2n1C[C@@H]1CNC[C@H]2C1
6,Z16929,91625978,-10.344,-1.57,diversity,0.079,O=c1[nH]cc(CCn2cc(-c3cc(=O)c4ccccc4[nH]3)nn2)c(=O)[nH]1
7,Z38752,2384434877,-10.309,-1.53,diversity,0.087,N=c1nc2[nH][nH]cc-2c(=N[C@H]2CC[C@@H](C(=O)NCc3cnc4ccccn34)CC2)[nH]1
8,Z07950,1940195618,-10.302,-1.52,diversity,0.112,NC(=O)[C@H]1CC[C@H]2OCCN(C(=O)c3cc(=O)n(-c4ccccc4)[nH]3)[C@@H]2C1
9,Z26594,1857718293,-10.287,-1.51,enrichment,0.135,O=C(c1cnc2ccccn2c1=O)N1C[C@@H](O)[C@H](Cc2ccc3ccccc3n2)C1
10,Z26301,2100556148,-10.253,-1.47,diversity,0.122,N=c1cc(C(=O)N[C@@H]2C[C@H](C(=O)N3CCC4(CCCO4)CC3)C[C@H]2O)[nH][nH]1
11,Z36677,1857697096,-10.186,-1.41,diversity,0.097,O=C(N[C@H]1CCCC12CCN(Cc1cccnc1)CC2)c1cc(-n2cnnn2)n[nH]1
12,Z18274,65151614,-10.163,-1.38,diversity,0.106,O=C(Cn1nc2c(N3CCSCC3)nccn2c1=O)Nc1cc(F)ccc1F
13,Z39268,2325810125,-10.13,-1.35,diversity,0.090,O=C(OC[C@@H]1NC(=O)[C@@H]2CCCN2C1=O)C1CC2(C1)CC1(CC(F)(F)C1)C2
14,Z01115,2382386609,-10.113,-1.33,enrichment,0.138,O=C(N[C@H]1C[C@@H](C(=O)N2CCC(F)CC2)C[C@@H]1O)c1cccc(-n2cnnc2)c1
15,Z25633,2383347452,-10.087,-1.31,diversity,0.068,N=c1cc(-c2cc(F)cc(C(=O)N3CCN(CCO)CC3)c2)[nH]c(=N)[nH]1
16,Z29060,44136321,-10.075,-1.3,enrichment,0.143,C[C@H](C(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc(-c2ccccc2)c(F)c1
17,Z17370,13540404,-10.072,-1.29,enrichment,0.153,O=C(O)[C@H]1O[C@@H](Oc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O
18,Z42288,2382374085,-10.054,-1.28,enrichment,0.136,CN1CCN(C(=O)[C@@H]2CC[C@H](O)[C@@H](NC(=O)c3cnc4ccccc4c3)C2)CC1
19,Z16803,102795626,-10.054,-1.28,diversity,0.089,Cc1ccc(OC2CCN(C(=O)c3c[nH]c4nc(C)nn4c3=O)CC2)cc1
20,Z16257,2386279485,-10.052,-1.27,diversity,0.119,N=c1nc(N2CC[C@@H](O)[C@@H](C(=O)NCc3c(F)cccc3Cl)C2)c2nc[nH]c2[nH]1
21,Z19444,2325821100,-9.957,-1.18,diversity,0.103,O=C1O[C@@H](C(=O)Nc2cccc(-n3nnnc3O)c2)c2ccccc21
22,Z34435,12445487,-9.924,-1.15,diversity,0.099,COC(=O)c1cc(C)nc2c1c(=O)n(CC(=O)Nc1ccc(C(C)=O)cc1)c(=O)n2C
23,Z36994,1857717705,-9.912,-1.13,enrichment,0.139,Cn1ccc(C(=O)NC[C@H]2[C@H]3CN(c4nccc(=N)[nH]4)C[C@]34CC[C@H]2O4)cc1=O
24,Z47600,828199772,-9.9,-1.12,diversity,0.098,Cc1cccc2ncc(C(=O)Nc3ccc(Oc4nn[nH]n4)cc3)c(=O)n12
25,Z33802,12041551,-9.897,-1.12,diversity,0.080,COc1ccc(N2C(=O)CN(C(=O)CN3C(=O)c4ccccc4C3=O)CC2(C)C)cc1
