lig_id,pref_name,can_smiles,source,mw
N0000,"AICA (5-amino-4-imidazolecarboxamide, free base)",NC(=O)c1[nH]cnc1N,chembl_73,126.1
N0001,fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,curated_pubchem,130.1
N0002,adenine,Nc1ncnc2nc[nH]c12,curated_pubchem,135.1
N0003,2-aminopurine,Nc1ncc2[nH]cnc2n1,curated_pubchem,135.1
N0004,formycin,Nc1ncnc2[nH]ncc12,chembl_73,135.1
N0005,adenine,Nc1ncnc2[nH]cnc12,chembl_73,135.1
N0006,hypoxanthine,O=c1[nH]cnc2nc[nH]c12,curated_pubchem,136.1
N0007,allopurinol,O=c1[nH]cnc2[nH]ncc12,curated_pubchem,136.1
N0008,hypoxanthine,O=c1[nH]cnc2[nH]cnc12,chembl_73,136.1
N0009,guanine,Nc1nc2nc[nH]c2c(=O)[nH]1,curated_pubchem,151.1
N0010,xanthine,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,curated_pubchem,152.1
N0011,8-azaguanine,Nc1nc2n[nH]nc2c(=O)[nH]1,curated_pubchem,152.1
N0012,6-mercaptopurine,S=c1nc[nH]c2nc[nH]c12,curated_pubchem,152.2
N0013,6MP,S=c1[nH]cnc2[nH]cnc12,chembl_73,152.2
N0014,6-thioguanine,Nc1nc(=S)c2[nH]cnc2[nH]1,curated_pubchem,167.2
N0015,CHEMBL7977,CN(C)c1ncnc2c1ncn2C,chembl_73,177.2
N0016,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,chembl_73,194.2
N0017,CHEMBL11390,Nc1ncnc2c1ncn2CC(O)CO,chembl_73,209.2
N0018,CHEMBL17875,Nc1ncnc2c1ncn2C1C=CC(O)C1,chembl_73,217.2
N0019,stavudine,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,curated_pubchem,224.2
N0020,acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,curated_pubchem,225.2
N0021,2'-deoxycytidine,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,curated_pubchem,227.2
N0022,2'-deoxyuridine,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,curated_pubchem,228.2
N0023,decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,curated_pubchem,228.2
N0024,lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,curated_pubchem,229.3
N0025,CHEMBL9393,Nc1ncnc2c1ncn2C1CC(CO)=NO1,chembl_73,234.2
N0026,didanosine,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,curated_pubchem,236.2
N0027,CHEMBL7823,CN(C)c1ncnc2c1ncn2-c1ccccc1,chembl_73,239.3
N0028,thymidine,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,curated_pubchem,242.2
N0029,telbivudine,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,curated_pubchem,242.2
N0030,cytidine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,curated_pubchem,243.2
N0031,cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,curated_pubchem,243.2
N0032,uridine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,curated_pubchem,244.2
N0033,ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,curated_pubchem,244.2
N0034,azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,curated_pubchem,244.2
