lig_id,zinc_id,can_smiles,zinc_bin
Z00000,2386277475,CC(C)c1nc2c(c(N3CCC[C@@](O)(CO)C3)n1)CCNC2=O,DC
Z00001,15107399,CSc1nc2c(-c3ccc(F)cc3)cnn2c(=O)[nH]1,CD
Z00002,299786485,CNC(=O)c1cccc(NC(=O)N[C@@H](C)c2nncn2CCCOC)c1,FD
Z00003,19877832,O=C(CN1CCN(CCO)CC1)Nc1ccc(Br)cc1,EC
Z00004,65533654,CCn1c(C2CCNCC2)nn(Cc2nc(CCOC)no2)c1=O,EC
Z00005,77408066,CS(=O)(=O)NCCC(=O)N1CCC[C@H](c2ncc[nH]2)C1,DC
Z00006,12384329,COC(=O)[C@@H]1C(=O)C[C@](C)(O)[C@@H](C(=O)OC)[C@@H]1c1cccc(F)c1,ED
Z00007,1775980852,O=C1CC[C@@H](C(=O)N2CCCN(S(=O)(=O)c3ccccc3Cl)CC2)N1,GC
Z00008,269692,CC(=O)NCCc1ccc(S(=O)(=O)N2CCCC2)cc1,CD
Z00009,2100534590,COc1c(C)[nH]ccc1=NC(=O)[C@@H]1CC(=O)N(Cc2ccccn2)C1,ED
Z00010,220752716,COc1ccc(C(=O)N2CCCn3nc([C@H](O)c4ccnn4C)cc3C2)o1,FD
Z00011,823701139,CN(C)C[C@H]1[C@@H]2CN(S(=O)(=O)CCOc3ccccc3)C[C@H]12,DD
Z00012,19113109,Cc1ccsc1CCNC(=O)[C@H]1COC(=O)[C@H]1C,CD
Z00013,299798368,Cn1cc(CCC(=O)N2C[C@H]3[C@@H](C2)[C@@H]3C(=O)O)cn1,CC
Z00014,215682899,O=C(NCCS(=O)(=O)N1CCCC1)c1cccc([C@@H]2CCCNC2)c1,FD
Z00015,56324834,CCS(=O)(=O)N1CCC(C(=O)N[C@H](C)COc2ccccc2C)CC1,FD
Z00016,2382335886,CN1CCC(N2C(=O)c3cc4nc(-c5cncn5C)[nH]c4cc3C2=O)CC1,FD
Z00017,215641488,CN(CCO)c1ccc(C(=O)N[C@@H]2COc3ccccc3C2)cc1,ED
Z00018,20427673,COCCCNC(=O)c1ccc(-n2cnnn2)cc1,CC
Z00019,12282018,CN(Cc1ccc(F)cc1)c1ccc(OCC(=O)NC[C@@H]2COCCO2)nn1,GD
Z00020,670449448,Cc1nn(CCO)cc1CN1CCN(C(=O)C2CCC2)CC1,DC
Z00021,244795420,O[C@H]1C[C@@H](c2cc(NCCCN3CCCC3)ncn2)C1,CD
Z00022,1506417359,NS(=O)(=O)CCCC(=O)N1CCOc2ccc(Cl)cc2C1,ED
Z00023,2206925,COc1cc(OC)c(OC)cc1CNCCSc1nnnn1C,ED
Z00024,1565509164,Cc1cc(N)n(CC(=O)N[C@H]2CCOC[C@@H]2Oc2ccc(CO)cc2)n1,FC
Z00025,20456272,CCOc1cccc(CNC(=O)C2CCN(S(=O)(=O)N(C)C)CC2)c1,FD
