lig_id,zinc_id,can_smiles,tanimoto_to_amp,arm
Z25535,5929300,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,0.636,enrichment
Z13478,1095430,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,0.585,enrichment
Z39011,3869309,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,0.585,enrichment
Z34489,13522804,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O,0.541,enrichment
Z17485,79428723,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](NCc2ccccc2)[C@H]1O,0.500,enrichment
Z46067,3873977,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(O)O[C@H]2[C@H]1O,0.500,enrichment
Z13607,1081581,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,0.492,enrichment
Z09314,171553,CC1(C)O[C@@H]2[C@H](CO)O[C@H](n3cnc4c(N)ncnc43)[C@@H]2O1,0.484,enrichment
Z37808,4261785,CC1(C)O[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O1,0.484,enrichment
Z09189,3148526,OC[C@@H]1O[C@H](n2cnc3c(=S)[nH]cnc32)[C@H](O)[C@H]1O,0.443,enrichment
Z35688,34095100,O=C(Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O)c1ccccc1,0.333,enrichment
Z49450,26662657,OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@@H](F)[C@@H]1O,0.333,enrichment
Z30739,34173166,Nc1ncnc2c1nc(Cl)n2[C@@H]1O[C@@H]2CO[P@](=O)(O)O[C@H]2[C@@H]1O,0.320,enrichment
Z27354,34517286,Nc1ncnc2c1c(I)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,0.319,enrichment
Z04567,307398100,Nc1ncnc2c1ncn2CCN1C(=O)c2ccccc2C1=O,0.308,enrichment
Z16044,26172724,Nc1nc(N)c2ncn(CCOCP(=O)(O)O)c2n1,0.299,enrichment
Z35520,632770,Nc1nc(=S)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1-c1ccccc1Cl,0.288,enrichment
Z27962,91332488,Nc1ncnc2c1ncn2CCCn1cc(Br)cn1,0.279,enrichment
Z16714,4012705,O=C(OC[C@@H]1O[C@@H]2[C@H](Oc3nc(=O)ccn32)[C@@H]1O)c1ccccc1,0.250,enrichment
Z10031,17322984,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,0.239,enrichment
